,angle,j,fl,fd
0,-60,515432048.93226194,-64138.24308107865,367462.09715211217
1,-40,495136214.2845055,-77517.0066978295,315150.43128602486
2,-20,475829558.9367969,-52953.79602526898,264372.11449539097
3,0,494276688.99890316,-5020.2032931570775,243962.00547725966
4,20,468933134.329267,45362.78860192819,251789.2351306383
5,40,485397283.01666045,77207.44983180733,294776.4556154524
6,60,506505106.1908914,74837.49112096307,349030.61697423004
