,angle,j,fl,fd
0,-60,516922746.20219374,-65233.964570140306,361034.84778526676
1,-40,498567598.90250874,-78085.4720772512,307352.4333094089
2,-20,477589762.28610975,-53307.568774937565,255798.08574305644
3,0,496215053.4737288,-4178.425938524697,235925.91690858136
4,20,470624632.5434988,47098.673706064146,244619.7224065709
5,40,487967452.13172156,78495.30162026084,289072.18648165977
6,60,509236591.0546205,75290.85047939008,344454.1720071719
