,angle,j,fl,fd
0,-60,513049745.21670574,-63683.867974339875,361785.3063619955
1,-40,493764882.4093343,-75934.5829333192,308899.4487581245
2,-20,474120808.8966471,-51934.549361868034,260080.22533636075
3,0,492539009.15030646,-4254.419591852469,239964.50251414016
4,20,468445779.28960085,45506.8010066803,248177.06664557595
5,40,483945953.19729125,76232.36396442523,290791.39836414903
6,60,505991527.56167984,73234.20256439422,344696.41835516423
