,angle,j,fl,fd
0,-60,519299258.8095086,-60084.157666986954,353180.2793989728
1,-40,500273528.6422953,-73108.74576018102,302503.2894349033
2,-20,481401836.1776475,-49737.119706822334,254155.7676379132
3,0,500548366.9797335,-4053.5802621483867,236558.63652850542
4,20,475915266.6433602,42752.85100933111,244036.8021193098
5,40,490739134.16758126,72744.70735673956,283495.2096908987
6,60,511671817.9587713,70297.49616255843,336192.4396880626
